movielens_id,movie_name,movie_tropes,movie_year,movie_genres,dbtropes_id,dbtropes_url
574,Boxing Helena,"['AnArmAndALeg', 'VerbingNouny', 'DeadpanSnarker', 'TwistEnding', 'YouBastard', 'BoxOfficeBomb', 'TheReasonYouSuckSpeech', 'GirlInABox']",1993,"['Mystery', 'Romance', 'Thriller']",BoxingHelena,http://dbtropes.org/resource/Film/BoxingHelena
31,Crimson Tide,"['RedAlert', 'TheNeidermeyer', 'DeadManSwitch', 'WorldWarIII', 'GeneralRipper', 'MyMasterRightOrWrong', 'AFatherToHisMen', 'TheCaptain', 'ANuclearError', 'RedOniBlueOni', 'BloodKnight', 'ScottyTime', 'CavemenVsAstronautsDebate', 'AcceptablePoliticalTargets', 'NewMeat', 'BadassCreed', 'ActionFilmQuietDramaScene', 'ActionFilmQuietDramaScene', 'JumpingOffTheSlipperySlope', 'TrappedInContainment', 'RaceAgainstTheClock', 'VillainousBreakdown', 'JustFollowingOrders', 'HeelRealization', 'HotSubOnSubAction', 'MildlyMilitary', 'CulturedWarrior', 'ChekhovsGun', 'BackedByThePentagon', 'NoisyGuns', 'RousingSpeech', 'ColonelKilgore', 'RenegadeRussian', 'BlofeldPloy', 'TheMutiny', 'RecycledSoundtrack', 'RookieRedRanger', 'BuildingOfAdventure', 'GodHelpUsAll', 'PhysicalFitnessPunishment', 'NotSoDifferent', 'AsYouKnow', 'WickedCultured', 'TheRadioDiesFirst', 'DutchAngle', 'PopCulturedBadass', 'ArtisticLicenseMilitary', 'ArtisticLicenseMilitary', 'Foreshadowing', 'InterserviceRivalry', 'ThisIsNotADrill', 'WithDueRespect', 'ChromosomeCasting', 'TwoKeyedLock', 'IWillPunishYourFriendForYourFailure', 'SinkingShipScenario', 'WarIsHell', 'ShoutOut', 'ShoutOut', 'MilitaryMaverick', 'SubStory', 'LostInTransmission', 'SeinfeldianConversation', 'SeinfeldianConversation', 'SeinfeldianConversation', 'NewscasterCameo', 'CantKillYouStillNeedYou', 'AntiMutiny', 'SeriousBusiness']",1995,"['Drama', 'Thriller', 'War']",CrimsonTide,http://dbtropes.org/resource/Film/CrimsonTide
544,Things to Do in Denver when You're Dead,"['IfICantHaveYou', 'ILied', 'RomanticFalseLead', 'PsychopathicManChild', 'MaltShop', 'FaceDeathWithDignity', 'BatmanGrabsAGun', 'FromBadToWorse', 'RagtagBunchOfMisfits', 'AssShove', 'VideoWills', 'ImpersonatingAnOfficer', 'HospitalHottie', 'RomanticPlotTumor', 'MysteriousMercenaryPursuer', 'TheyCallMeMisterTibbs', 'BadassBoast', 'VoxPops', 'StalkerWithACrush', 'TooDumbToLive', 'TooDumbToLive', 'EvilCripple', 'CarnivalOfKillers', 'TropicalEpilogue', 'BittersweetEnding', 'DeadlyEuphemism', 'WindowLove', 'TitledAfterTheSong', 'AFatherToHisMen', 'AnyoneCanDie', 'ColdBloodedTorture', 'KarmaHoudini', 'TheDon', 'ProfessionalKiller']",1995,"['Crime', 'Drama', 'Romance']",ThingsToDoInDenverWhenYoureDead,http://dbtropes.org/resource/Film/ThingsToDoInDenverWhenYoureDead
388,Beverly Hills Cop III,"['BadBoss', 'BFG', 'FilmsOfThe1990s', 'MrAltDisney', 'ParodyAssistance', 'GunAccessories', 'CloseOnTitle', 'ItWasHereISwear', 'JurisdictionFriction', 'CaliforniaDoubling', 'SwissArmyGun', 'DieHardOnAnX', 'BetterManhandleTheMurderWeapon', 'DaChief', 'RummageFail', 'AmusementPark', 'FilmBrainList']",1994,"['Action', 'Comedy']",BeverlyHillsCopIII,http://dbtropes.org/resource/Film/BeverlyHillsCopIII
893,For Richer or Poorer,"['AmericanGothicCouple', 'RichBitch', 'UnusualEuphemism', 'HandCannon', 'CaliforniaDoubling', 'ChekhovsGun', 'SecondFaceSmoke', 'RunningGag', 'ChekhovsSkill', 'RightThroughTheWall', 'PlanetOfSteves', 'GenreSavvy', 'RomanticComedy', 'BigApplesauce', 'StockForeignName']",1997,['Comedy'],ForRicherOrPoorer,http://dbtropes.org/resource/Film/ForRicherOrPoorer
343,Alien: Resurrection,"['GaiasLament', 'GoneHorriblyWrong', 'WindowLove', 'SnowyScreenOfDeath', 'SociopathicHero', 'FictionalVideoGame', 'WhyAmITicking', 'AdmiringTheAbomination', 'MadScientist', 'SpaceDoesNotWorkThatWay', 'AnkleDrag', 'NestedMouths', 'WoobieDestroyerOfWorlds', 'WoobieDestroyerOfWorlds', 'AlasPoorVillain', 'ScaramangaSpecial', 'LamarckWasRight', 'KillItWithIce', 'CreatorThumbprint', 'SuperNotDrowningSkills', 'HowTheMightyHaveFallen', 'InYourNatureToDestroyYourselves', 'SapientShip', 'JerkWithAHeartOfJerk', 'ComputerVoice', 'BringItBackAlive', 'RobotGirl', 'BigNo', 'BlindShoulderToss', 'ReliableTraitor', 'OutgrownSuchSillySuperstitions', 'AIIsACrapshoot', 'AndStarring', 'NothingUpMySleeve', 'PeopleJars', 'ImprobableAimingSkills', 'DisneyDeath', 'CutTheSafetyRope', 'NoEndorHolocaust', 'BuffySpeak', 'LargeHam', 'TechnologyPorn', 'TwoGirlsToATeam', 'ParvumOpus', 'TooDumbToLive', 'ContinuousDecompression', 'ExplosiveDecompression', 'RobotNames', 'MegaCorp', 'HalfHumanHybrid', 'AccidentalAimingSkills', 'BigRedButton', 'NonhumansLackAttributes', 'ThrowAwayGuns', 'ImmuneToBullets', 'KillItWithFire', 'DamagedSoul', 'BuryYourDisabled', 'ImpaledPalm', 'ImpaledPalm', 'ThereIsNoKillLikeOverkill', 'ThereIsNoKillLikeOverkill', 'ThereIsNoKillLikeOverkill', 'ThereIsNoKillLikeOverkill', 'TongueTrauma', 'ThrownOutTheAirlock', 'ItIsDehumanizing', 'IKEAWeaponry', 'TheForeignSubtitle', 'EscapedFromTheLab', 'HomoeroticSubtext', 'OffingTheOffspring', 'ApeShallNeverKillApe', 'EverythingIsRacist', 'EverybodysDeadDave', 'DreadlockWarrior', 'EarthThatUsedToBeBetter', 'NoHoldsBarredBeatdown', 'MemeticMolester', 'ContestedSequel', 'BoldlyComing', 'MadeOfPlasticine', 'ActionGirl', 'ActionGirl', 'ActionGirl', 'GeneticMemory', 'FatalMethodActing', 'ItCanThink', 'ItCanThink', 'ItCanThink', 'RecursiveCreators', 'CameBackWrong', 'KarmicDeath', 'SwissCheeseSecurity', 'FailsafeFailure', 'CryForTheDevil', 'ViewerGenderConfusion', 'WeNeedADistraction', 'AndThenJohnWasAZombie', 'StockSubtitle', 'BorrowedBiometricBypass', 'ZerothLawRebellion', 'BookSafe', 'CloningBlues', 'PinballProjectile', 'BackFromTheDead', 'FloatingHeadSyndrome', 'BodyHorror', 'DoomedHurtGuy', 'HateSink', 'CapcomSequelStagnation', 'NoPaperFuture', 'DodgeTheBullet', 'InsignificantLittleBluePlanet', 'UnitedSpaceOfAmerica', 'JerkWithAHeartOfGold', 'LampshadedDoubleEntendre', 'SheepInWolfsClothing', 'HeyItsThatGuy', 'DidYouDie', 'BrainBleach', 'HandicappedBadass', 'PlaceWorseThanDeath', 'SophisticatedAsHell', 'FateWorseThanDeath', 'FateWorseThanDeath', 'FateWorseThanDeath', 'FateWorseThanDeath', 'PhraseCatcher', 'GoryDiscretionShot', 'Expy', 'AluminumChristmasTrees', 'InterspeciesRomance', 'ArtificialHuman', 'NoYay', 'HeroicSacrifice', 'HeroicSacrifice', 'HeroicSacrifice', 'HeroicSacrifice', 'LiterallyShatteredLives', 'HamAndCheese', 'VasquezAlwaysDies', 'MercyKill', 'MercyKill', 'InferredHolocaust', 'WorldOfSnark', 'Novelization', 'OneBadMother']",1997,"['Action', 'Horror', 'Sci-Fi']",AlienResurrection,http://dbtropes.org/resource/Film/AlienResurrection
549,Rob Roy,"['CombatPragmatist', 'PostRapeTaunt', 'DeliberateInjuryGambit', 'NotIfTheyEnjoyedItRationalization', 'DrivenToSuicide', 'EvilBrit', 'HeroicSecondWind', 'ThrowingYourSwordAlwaysWorks', 'LetsFightLikeGentlemen', 'LetsFightLikeGentlemen', 'LetsFightLikeGentlemen', 'UnderestimatingBadassery', 'OohMeAccentsSlipping', 'TheCoatsAreOff', 'SwordFight', 'FakeNationality', 'WeakButSkilled', 'HonorBeforeReason', 'SmugSnake', 'SmugSnake', 'DuelToTheDeath', 'SelkiesAndWereseals', 'ThePowerOfHate', 'ThePowerOfHate', 'TheyCallMeMisterTibbs', 'WhatADrag', 'TheDragon', 'BarehandedBladeBlock', 'CoitusUninterruptus', 'SwordAndGun', 'GoodIsNotNice', 'BadassBack', 'MasterSwordsman', 'ManInAKilt', 'TooDumbToLive', 'TheBrute', 'RapeAsDrama', 'DefiledForever', 'Badass', 'OhCrap', 'CharacterTitle', 'BastardBastard', 'LukeIAmYourFather', 'KnightInSourArmor', 'LeeroyJenkins', 'SophisticatedAsHell', 'OneWomanWail', 'ReminiscingAboutYourVictims', 'ChildByRape', 'VillainousValour', 'SingleStrokeBattle', 'FatalFlaw', 'ValuesDissonance', 'SwordPointing', 'SwordOverHead', 'KarmaHoudini', 'BattleStrip', 'TheWorfEffect', 'ReasonableAuthorityFigure', 'ColorCodedForYourConvenience', 'HistoricalHeroUpgrade', 'ArchEnemy', 'ThwartedCoupDeGrace', 'SissyVillain', 'AristocratsAreEvil', 'WickedCultured', 'JohnHurt', 'NamesTheSame', 'Flynning', 'HideAndNoSeek']",1995,"['Drama', 'Romance', 'War']",RobRoy,http://dbtropes.org/resource/Film/RobRoy
1203,Top Hat,"['TheCoverChangesTheMeaning', 'BilingualBackfire', 'HappyEnding', 'LoveAtFirstSight', 'DeadpanSnarker', 'MistakenIdentity', 'UnwantedRescue', 'BeefBandage', 'RoyalWe', 'TheJeeves', 'AmusingInjuries', 'NoAntagonist', 'TheMatchmaker', 'InvoluntaryDance', 'DannyPearyCultMoviesList', 'CavemenVsAstronautsDebate', 'DisguisedInDrag', 'BusbyBerkeleyNumber', 'CampGay', 'FlowersOfRomance', 'FluffyFashionFeathers', 'MovieBonusSong', 'SerenadeYourLover', 'DeconfirmedBachelor', 'CurseCutShort', 'ForcefulKiss', 'MusicalWorldHypotheses', 'TheMusicalMusical', 'MurderTheHypotenuse', 'ConvenientSlowDance', 'FunnyForeigner', 'PoirotSpeak', 'AcademyAwardForBestOriginalSong', 'LoveTriangle', 'BadHabits', 'IconicOutfit', 'RobertWise', 'RomanticRunnerUp', 'RomanticComedy', 'ScreenToStageAdaptation', 'AllMusicalsAreAdaptations', 'PrettyInMink', 'DanceOfRomance', 'SmokyGentlemensClub', 'ImaginaryLoveTriangle', 'CaughtInTheRain', 'ForgottenFirstMeeting', 'HopelessSuitor', 'PimpedOutDress', 'TitleDrop', 'HappyDance', 'Malaproper', 'TalkAboutTheWeather', 'IrrelevantActOpener', 'CostumePorn', 'RhetoricalQuestionBlunder', 'TheChewToy', 'MistakenForCheating', 'ShownTheirWork', 'AskAStupidQuestion', 'AdaptationExpansion', 'YourCheatingHeart', 'TheyDo']",1935,"['Comedy', 'Musical', 'Romance']",TopHat,http://dbtropes.org/resource/Film/TopHat
797,Timecop,"['BeardOfSorrow', 'DartboardOfHate', 'IHatePastMe', 'HauledBeforeASenateSubCommittee', 'MadeOfExplodium', 'Zeerust', 'TechnologyMarchesOn', 'DrivenToSuicide', 'AnachronismStew', 'KissMeImVirtual', 'CorruptPolitician', 'TimeMachine', 'TimeyWimeyBall', 'SetRightWhatOnceWentWrong', 'AndYourLittleDogToo', 'TwentyMinutesIntoTheFuture', 'IvyLeagueForEveryone', 'HollywoodActionHero', 'BeardOfEvil', 'LiterallyShatteredLives', 'HeelFaceDoorSlam', 'YouHaveFailedMe', 'AmnesiacLover', 'HeyItsThatGun', 'TheMobBossIsScarier', 'TheGreatDepression', 'WouldntHitAGirl', 'IKnowMortalKombat', 'UnscientificScience', 'TerminatorTwosome', 'TimeTravelForFunAndProfit', 'KillItWithIce', 'NotSoDifferent', 'HighConcept', 'ScarsAreForever', 'SpiritualSuccessor', 'FatalFamilyPhoto', 'NeverTheSelvesShallMeet', 'ArtisticLicenseBiology', 'OurTimeMachineIsDifferent', 'KarmicDeath', 'KarmicDeath', 'RecycledTheSeries', 'TimeIsDangerous', 'HerrDoktor', 'NoOSHACompliance', 'TimeTravel', 'HappierHomeMovie', 'JobTitle', 'TemporalParadox', 'MagicCountdown', 'LessDisturbingInContext', 'NotEvenBotheringWithTheAccent', 'InSpiteOfANail', 'RippleEffectProofMemory']",1994,"['Action', 'Sci-Fi']",Timecop,http://dbtropes.org/resource/Film/Timecop
410,Kingpin,"['IAteWhat', 'TheCameo', 'Jerkass', 'GroinAttack', 'FarmBoy', 'SlapSlapKiss', 'SoundtrackDissonance', 'WhiteDwarfStarlet', 'ArtisticLicenseGeography', 'ShowSomeLeg', 'StockForeignName', 'IgnoreTheFanservice', 'BreastAttack', 'CampStraight', 'DistractedByTheSexy', 'TheCasanova', 'WouldntHitAGirl', 'LastSecondWordSwap', 'CrankyLandlord', 'AcceptableReligiousTargets', 'MemeticMutation', 'TheAce', 'BestialityIsDepraved', 'HypocriticalHumor', 'MsFanservice', 'KarmaHoudini', 'TheAlcoholic', 'EvenEvilHasStandards', 'OnlyKnownByTheirNickname', 'PersonAsVerb', 'UnderdogsNeverLose', 'ScarpiaUltimatum']",1996,['Comedy'],Kingpin,http://dbtropes.org/resource/Film/Kingpin
